gl_entry_id,entry_date,gl_account_code,account_description,entry_type,debit_gbp,credit_gbp,policy_reference,period,posted_by,approved
GLE-0000001,2025-04-14,GL-4003,Commission Expense,Write-off,49476.69,0.00,POL-0101315,2025-04,raj.patel,Y
GLE-0000002,2025-01-11,GL-4002,Claims Expense,Reinsurance,28560.38,0.00,POL-0109827,2025-01,sophie.clarke,Y
GLE-0000003,2025-03-01,GL-4001,Premium Income,Reinsurance,21467.99,0.00,POL-0029707,2025-03,sophie.clarke,Y
GLE-0000004,2025-03-20,GL-4003,Commission Expense,Premium Receipt,0.00,46695.91,POL-0040702,2025-03,system_etl,Y
GLE-0000005,2025-02-21,GL-4002,Claims Expense,Adjustment,0.00,8288.43,POL-0040511,2025-02,sophie.clarke,Y
GLE-0000006,2025-03-19,GL-5002,Technology Costs,Claims Payment,35949.99,0.00,POL-0108226,2025-03,marcus.webb,Y
GLE-0000007,2025-01-28,GL-4004,Reinsurance Recoveries,Write-off,12789.99,0.00,POL-0106961,2025-01,system_etl,Y
GLE-0000008,2025-03-11,GL-4002,Claims Expense,Premium Receipt,39539.71,0.00,POL-0065114,2025-03,marcus.webb,Y
GLE-0000009,2025-03-09,GL-5001,Operating Costs,Commission,0.00,11306.36,POL-0073289,2025-03,marcus.webb,Y
GLE-0000010,2025-02-14,GL-5002,Technology Costs,Commission,0.00,11984.22,POL-0083479,2025-02,system_etl,Y
GLE-0000011,2025-03-24,GL-5002,Technology Costs,Commission,32059.68,0.00,POL-0004660,2025-03,system_etl,Y
GLE-0000012,2025-02-21,GL-4004,Reinsurance Recoveries,Commission,0.00,14643.33,POL-0069374,2025-02,marcus.webb,Y
GLE-0000013,2025-05-06,GL-4002,Claims Expense,Write-off,12461.55,0.00,POL-0070890,2025-05,sophie.clarke,Y
GLE-0000014,2025-06-28,GL-4003,Commission Expense,Adjustment,24484.97,0.00,POL-0092108,2025-06,raj.patel,Y
GLE-0000015,2025-06-02,GL-5001,Operating Costs,Commission,0.00,10641.60,POL-0087664,2025-06,marcus.webb,Y
GLE-0000016,2025-04-19,GL-4002,Claims Expense,Commission,10362.48,0.00,POL-0067403,2025-04,raj.patel,Y
GLE-0000017,2025-02-26,GL-4004,Reinsurance Recoveries,Reinsurance,0.00,47358.96,POL-0026846,2025-02,marcus.webb,N
GLE-0000018,2025-04-23,GL-4003,Commission Expense,Premium Receipt,0.00,21411.62,POL-0051684,2025-04,system_etl,Y
GLE-0000019,2025-02-04,GL-4004,Reinsurance Recoveries,Claims Payment,0.00,37756.22,POL-0095156,2025-02,raj.patel,Y
GLE-0000020,2025-03-11,GL-5002,Technology Costs,Write-off,0.00,42964.57,POL-0083469,2025-03,raj.patel,Y
GLE-0000021,2025-03-03,GL-5002,Technology Costs,Premium Receipt,4159.79,0.00,POL-0046621,2025-03,marcus.webb,Y
GLE-0000022,2025-01-04,GL-6001,Regulatory Reserve,Adjustment,39271.06,0.00,POL-0029422,2025-01,system_etl,Y
GLE-0000023,2025-05-27,GL-6001,Regulatory Reserve,Reinsurance,27013.92,0.00,POL-0088210,2025-05,system_etl,Y
GLE-0000024,2025-01-17,GL-4004,Reinsurance Recoveries,Adjustment,15985.52,0.00,POL-0015932,2025-01,raj.patel,Y
GLE-0000025,2025-01-11,GL-5002,Technology Costs,Write-off,0.00,11771.60,POL-0022611,2025-01,raj.patel,Y
GLE-0000026,2025-04-25,GL-4003,Commission Expense,Premium Receipt,0.00,33859.91,POL-0008216,2025-04,sophie.clarke,Y
GLE-0000027,2025-04-12,GL-4001,Premium Income,Commission,37200.40,0.00,POL-0009458,2025-04,raj.patel,Y
GLE-0000028,2025-06-05,GL-6001,Regulatory Reserve,Reinsurance,5294.39,0.00,POL-0039723,2025-06,system_etl,Y
GLE-0000029,2025-06-09,GL-4004,Reinsurance Recoveries,Write-off,0.00,9424.32,POL-0044126,2025-06,marcus.webb,Y
GLE-0000030,2025-05-03,GL-4001,Premium Income,Claims Payment,36242.44,0.00,POL-0077327,2025-05,system_etl,Y
GLE-0000031,2025-01-26,GL-5002,Technology Costs,Premium Receipt,30683.80,0.00,POL-0042622,2025-01,marcus.webb,Y
GLE-0000032,2025-05-31,GL-4003,Commission Expense,Write-off,0.00,5087.37,POL-0045979,2025-05,sophie.clarke,Y
GLE-0000033,2025-06-07,GL-4001,Premium Income,Claims Payment,0.00,22478.98,POL-0068593,2025-06,sophie.clarke,Y
GLE-0000034,2025-01-28,GL-5002,Technology Costs,Commission,46746.62,0.00,POL-0102415,2025-01,raj.patel,Y
GLE-0000035,2025-06-20,GL-4001,Premium Income,Premium Receipt,239.99,0.00,POL-0077282,2025-06,marcus.webb,Y
GLE-0000036,2025-02-22,GL-4002,Claims Expense,Claims Payment,18402.94,0.00,POL-0071910,2025-02,system_etl,Y
GLE-0000037,2025-05-22,GL-4001,Premium Income,Commission,19758.94,0.00,POL-0081002,2025-05,sophie.clarke,N
GLE-0000038,2025-03-21,GL-4003,Commission Expense,Commission,20074.13,0.00,POL-0011707,2025-03,sophie.clarke,Y
GLE-0000039,2025-03-30,GL-4003,Commission Expense,Commission,0.00,14551.18,POL-0012707,2025-03,marcus.webb,Y
GLE-0000040,2025-04-10,GL-4003,Commission Expense,Write-off,0.00,17759.99,POL-0038835,2025-04,sophie.clarke,Y
GLE-0000041,2025-04-09,GL-5001,Operating Costs,Commission,0.00,38371.79,POL-0055471,2025-04,raj.patel,Y
GLE-0000042,2025-01-30,GL-6001,Regulatory Reserve,Reinsurance,14995.30,0.00,POL-0012594,2025-01,system_etl,Y
GLE-0000043,2025-03-31,GL-6001,Regulatory Reserve,Claims Payment,32886.44,0.00,POL-0038915,2025-03,system_etl,Y
GLE-0000044,2025-03-21,GL-4003,Commission Expense,Reinsurance,0.00,27448.92,POL-0009786,2025-03,sophie.clarke,Y
GLE-0000045,2025-03-06,GL-4004,Reinsurance Recoveries,Reinsurance,16235.52,0.00,POL-0077574,2025-03,marcus.webb,Y
GLE-0000046,2025-04-29,GL-4003,Commission Expense,Adjustment,0.00,14549.25,POL-0106831,2025-04,system_etl,Y
GLE-0000047,2025-05-14,GL-4002,Claims Expense,Adjustment,0.00,22886.44,POL-0038113,2025-05,marcus.webb,Y
GLE-0000048,2025-06-01,GL-5001,Operating Costs,Premium Receipt,6240.89,0.00,POL-0026065,2025-06,raj.patel,Y
GLE-0000049,2025-01-20,GL-4002,Claims Expense,Commission,39560.82,0.00,POL-0098075,2025-01,system_etl,Y
GLE-0000050,2025-05-18,GL-4002,Claims Expense,Reinsurance,37513.22,0.00,POL-0111708,2025-05,system_etl,Y
GLE-0000051,2025-02-23,GL-6001,Regulatory Reserve,Adjustment,0.00,5055.65,POL-0076803,2025-02,sophie.clarke,Y
GLE-0000052,2025-03-25,GL-5001,Operating Costs,Commission,47683.82,0.00,POL-0076350,2025-03,system_etl,Y
GLE-0000053,2025-03-05,GL-5002,Technology Costs,Adjustment,10109.07,0.00,POL-0083500,2025-03,system_etl,Y
GLE-0000054,2025-02-16,GL-5002,Technology Costs,Adjustment,0.00,44498.43,POL-0036295,2025-02,sophie.clarke,Y
GLE-0000055,2025-04-11,GL-4003,Commission Expense,Claims Payment,5517.40,0.00,POL-0043253,2025-04,system_etl,Y
GLE-0000056,2025-01-09,GL-4002,Claims Expense,Commission,0.00,19560.07,POL-0069718,2025-01,sophie.clarke,Y
GLE-0000057,2025-04-07,GL-4002,Claims Expense,Write-off,0.00,44751.91,POL-0108944,2025-04,sophie.clarke,Y
GLE-0000058,2025-01-01,GL-4002,Claims Expense,Reinsurance,7820.63,0.00,POL-0036266,2025-01,sophie.clarke,Y
GLE-0000059,2025-04-11,GL-5001,Operating Costs,Claims Payment,0.00,2022.82,POL-0078558,2025-04,sophie.clarke,Y
GLE-0000060,2025-06-10,GL-5001,Operating Costs,Write-off,0.00,14041.61,POL-0076237,2025-06,system_etl,Y
GLE-0000061,2025-04-30,GL-4001,Premium Income,Adjustment,11752.11,0.00,POL-0057530,2025-04,raj.patel,Y
GLE-0000062,2025-05-08,GL-4003,Commission Expense,Claims Payment,0.00,4214.68,POL-0027103,2025-05,sophie.clarke,N
GLE-0000063,2025-05-31,GL-4001,Premium Income,Reinsurance,49358.52,0.00,POL-0083024,2025-05,sophie.clarke,Y
GLE-0000064,2025-02-21,GL-4001,Premium Income,Commission,0.00,30657.35,POL-0116242,2025-02,sophie.clarke,Y
GLE-0000065,2025-04-27,GL-4003,Commission Expense,Write-off,24121.81,0.00,POL-0040112,2025-04,marcus.webb,Y
GLE-0000066,2025-02-10,GL-4004,Reinsurance Recoveries,Premium Receipt,0.00,35617.89,POL-0011065,2025-02,raj.patel,Y
GLE-0000067,2025-05-19,GL-5001,Operating Costs,Commission,0.00,34155.14,POL-0063729,2025-05,sophie.clarke,Y
GLE-0000068,2025-03-08,GL-4004,Reinsurance Recoveries,Premium Receipt,18021.46,0.00,POL-0008639,2025-03,raj.patel,Y
GLE-0000069,2025-01-07,GL-4004,Reinsurance Recoveries,Adjustment,0.00,39212.18,POL-0029099,2025-01,marcus.webb,Y
GLE-0000070,2025-04-08,GL-5002,Technology Costs,Write-off,37457.73,0.00,POL-0092330,2025-04,marcus.webb,Y
GLE-0000071,2025-02-28,GL-6001,Regulatory Reserve,Commission,0.00,26700.91,POL-0093735,2025-02,sophie.clarke,Y
GLE-0000072,2025-02-11,GL-4002,Claims Expense,Adjustment,15418.41,0.00,POL-0013692,2025-02,sophie.clarke,Y
GLE-0000073,2025-02-21,GL-4001,Premium Income,Premium Receipt,0.00,2820.85,POL-0075735,2025-02,sophie.clarke,Y
GLE-0000074,2025-01-02,GL-4003,Commission Expense,Reinsurance,38025.71,0.00,POL-0025509,2025-01,sophie.clarke,Y
GLE-0000075,2025-04-06,GL-5001,Operating Costs,Premium Receipt,46913.57,0.00,POL-0060319,2025-04,raj.patel,Y
GLE-0000076,2025-05-22,GL-4003,Commission Expense,Write-off,19856.79,0.00,POL-0093890,2025-05,marcus.webb,Y
GLE-0000077,2025-05-13,GL-4001,Premium Income,Claims Payment,3172.22,0.00,POL-0122605,2025-05,marcus.webb,Y
GLE-0000078,2025-05-31,GL-4003,Commission Expense,Reinsurance,0.00,36364.22,POL-0099381,2025-05,raj.patel,Y
GLE-0000079,2025-03-25,GL-4003,Commission Expense,Commission,40185.30,0.00,POL-0074986,2025-03,raj.patel,Y
GLE-0000080,2025-02-21,GL-4002,Claims Expense,Write-off,0.00,44183.63,POL-0108681,2025-02,marcus.webb,Y
GLE-0000081,2025-06-22,GL-4004,Reinsurance Recoveries,Commission,0.00,28584.52,POL-0103743,2025-06,marcus.webb,Y
GLE-0000082,2025-06-17,GL-5002,Technology Costs,Reinsurance,7937.29,0.00,POL-0085933,2025-06,system_etl,Y
GLE-0000083,2025-06-01,GL-4002,Claims Expense,Write-off,0.00,39638.13,POL-0036216,2025-06,sophie.clarke,Y
GLE-0000084,2025-06-29,GL-5002,Technology Costs,Write-off,6745.62,0.00,POL-0050073,2025-06,system_etl,Y
GLE-0000085,2025-05-17,GL-4001,Premium Income,Commission,0.00,42751.41,POL-0056286,2025-05,raj.patel,Y
GLE-0000086,2025-01-07,GL-4003,Commission Expense,Claims Payment,33152.70,0.00,POL-0022267,2025-01,raj.patel,Y
GLE-0000087,2025-04-23,GL-4002,Claims Expense,Reinsurance,19878.32,0.00,POL-0009200,2025-04,sophie.clarke,Y
GLE-0000088,2025-02-22,GL-5001,Operating Costs,Commission,24419.22,0.00,POL-0066706,2025-02,sophie.clarke,Y
GLE-0000089,2025-06-29,GL-4002,Claims Expense,Claims Payment,47495.77,0.00,POL-0066189,2025-06,marcus.webb,Y
GLE-0000090,2025-01-12,GL-5001,Operating Costs,Commission,0.00,3786.78,POL-0076527,2025-01,marcus.webb,Y
GLE-0000091,2025-02-05,GL-4001,Premium Income,Premium Receipt,0.00,17556.01,POL-0061645,2025-02,raj.patel,Y
GLE-0000092,2025-03-09,GL-4002,Claims Expense,Write-off,20853.14,0.00,POL-0027875,2025-03,sophie.clarke,Y
GLE-0000093,2025-03-03,GL-4004,Reinsurance Recoveries,Commission,8977.41,0.00,POL-0053889,2025-03,raj.patel,N
GLE-0000094,2025-04-03,GL-4002,Claims Expense,Write-off,10155.43,0.00,POL-0058536,2025-04,sophie.clarke,Y
GLE-0000095,2025-04-15,GL-4001,Premium Income,Reinsurance,0.00,48530.26,POL-0007013,2025-04,sophie.clarke,Y
